"site","station","overlap","overall_years","overall_frequency","overall_duration","overall_intensity","distance"
"Tsitsikamma East","CAPEPOINT",19,9,0.75,2.54,0.25,499.8
"Tsitsikamma East","CAPETOWND.F.MALAN-WK",2,0,4,3.94,2.71,489.49
"Tsitsikamma East","CAPETOWN-ROYALYACHTCLUB",9,5,1.46,3.33,0.61,504.21
"Tsitsikamma East","CAPETOWNSLANGKOP",14,7,1.14,2.97,0.3,514.95
"Tsitsikamma East","CAPETOWNWO",18,9,1.06,2.89,0.41,489.31
"Tsitsikamma East","CT-AWS",9,5,1.19,2.04,0.47,489.45
"Tsitsikamma East","DOHNE-AGR",9,5,1.46,3.33,0.61,370.28
"Tsitsikamma East","EASTLONDON-WK",2,0,4,4.5,0.71,380.12
"Tsitsikamma East","EASTLONDONWO",9,5,1.19,2.04,0.47,378.84
"Tsitsikamma East","GEORGEAWS",1,0,NA,NA,NA,140.75
"Tsitsikamma East","GEORGECLIMATEAWS",0,0,0,0,0,140.87
"Tsitsikamma East","GEORGEWITFONTEIN",3,0,NA,NA,NA,137.15
"Tsitsikamma East","HERMANUS",17,9,0.88,3.08,0.42,433.13
"Tsitsikamma East","JONKERSHOEK",0,0,0,0,0,459.3
"Tsitsikamma East","JOUBERTINAAWS",13,6,1.85,4.11,0.57,22.92
"Tsitsikamma East","JOUBERTINASCHOOLAWS",0,0,0,0,0,23.28
"Tsitsikamma East","KIRSTENBOSCH",19,10,0.69,2.48,0.29,504.86
"Tsitsikamma East","KNYSNA",14,9,0.8,3.17,0.27,76.37
"Tsitsikamma East","MAKATINIRESEARCHCENTRE",19,8,2.25,3.82,0.96,1080.43
"Tsitsikamma East","MBAZWANAAIRFIELD",13,4,4,6.67,1.08,1103.75
"Tsitsikamma East","MOLTENORESERVOIR",9,5,0.9,2,0.27,507.07
"Tsitsikamma East","MOSSELBAY",2,0,NA,NA,NA,164.67
"Tsitsikamma East","PAARL",17,7,1,3.18,0.45,457.11
"Tsitsikamma East","PLETTENBERGBAAI",17,7,1.33,4.34,0.26,54.21
"Tsitsikamma East","PORTELIZABETHAWOS",18,8,2.12,3.63,0.58,157.36
"Tsitsikamma East","PORTELIZABETHAWS",1,0,NA,NA,NA,157.14
"Tsitsikamma East","PORTELIZABETH-SHARKROCKPIER",0,0,0,0,0,161.39
"Tsitsikamma East","PORTELIZABETH-WK",2,1,2.67,1.97,0.17,155.87
"Tsitsikamma East","PORTNOLLOTH",1,0,NA,NA,NA,852.18
"Tsitsikamma East","RIVERSDAL",0,0,0,0,0,245.07
"Tsitsikamma East","SAASTRONOMICALOBSERVATORY",19,9,0.84,2.07,0.33,500.96
"Tsitsikamma East","SPRINGBOK-WK",3,0,NA,NA,NA,747.67
"Tsitsikamma East","SPRINGBOKWO",17,8,1.12,2.48,0.22,747.8
"Tsitsikamma East","STRAND",14,8,1.26,3.07,0.38,466.21
"Tsitsikamma East","TSITSIKAMMA",17,7,0.97,3.84,0.4,1.31
"Tsitsikamma East","TYGERHOEK",19,7,1.29,3.12,0.46,369.2
"Tsitsikamma East","UITENHAGE",17,3,1.47,4.83,0.45,145.13
"Tsitsikamma East","VIOOLSDRIF",10,0,NA,NA,NA,842.34
"Tsitsikamma East","VIOOLSDRIF-AWS",8,4,3.8,4.61,0.9,835.2
"Tsitsikamma East","WILLOWMORE",19,8,1.29,2.94,0.48,90.21
"Tsitsikamma West","BISHO",18,4,2.27,4.06,0.3,358.37
"Tsitsikamma West","CAPEPOINT",18,10,0.52,2.06,0.25,476.55
"Tsitsikamma West","CAPETOWND.F.MALAN-WK",3,0,1,3.48,0.34,465.62
"Tsitsikamma West","CAPETOWN-ROYALYACHTCLUB",7,4,1,2.51,0.76,480.28
"Tsitsikamma West","CAPETOWNSLANGKOP",12,7,1.06,2.33,0.32,491.35
"Tsitsikamma West","CAPETOWNWO",16,9,0.86,2.57,0.44,465.43
"Tsitsikamma West","CT-AWS",7,5,1.09,1.68,0.52,465.6
"Tsitsikamma West","DOHNE-AGR",7,4,1,2.51,0.76,389.74
"Tsitsikamma West","EASTLONDON-WK",3,0,0.75,3.74,0.2,401.84
"Tsitsikamma West","EASTLONDONWO",7,5,1.09,1.68,0.52,400.56
"Tsitsikamma West","GEORGEAWS",0,0,0,0,0,116.81
"Tsitsikamma West","GEORGECLIMATEAWS",0,0,0,0,0,116.97
"Tsitsikamma West","GEORGEWITFONTEIN",1,0,NA,NA,NA,112.92
"Tsitsikamma West","HERMANUS",15,8,0.81,2.59,0.47,410.13
"Tsitsikamma West","JONKERSHOEK",0,0,0,0,0,435.41
"Tsitsikamma West","JOUBERTINAAWS",11,6,1.64,3.01,0.59,25.6
"Tsitsikamma West","JOUBERTINASCHOOLAWS",0,0,0,0,0,26
"Tsitsikamma West","KIRSTENBOSCH",18,10,0.52,1.96,0.29,481.02
"Tsitsikamma West","KNYSNA",12,8,0.64,2.3,0.26,52.96
"Tsitsikamma West","MAKATINIRESEARCHCENTRE",18,9,1.92,3.54,1.01,1095.13
"Tsitsikamma West","MBAZWANAAIRFIELD",11,5,3,4.41,1.01,1119.08
"Tsitsikamma West","MOLTENORESERVOIR",7,5,0.63,1.63,0.28,483.17
"Tsitsikamma West","MOSSELBAY",0,0,0,0,0,141.74
"Tsitsikamma West","PAARL",15,7,0.92,2.58,0.5,432.91
"Tsitsikamma West","PLETTENBERGBAAI",15,6,1.05,3.01,0.27,32.26
"Tsitsikamma West","PORTELIZABETHAWOS",16,8,1.67,3.03,0.64,181.31
"Tsitsikamma West","PORTELIZABETHAWS",0,0,0,0,0,181.07
"Tsitsikamma West","PORTELIZABETH-SHARKROCKPIER",0,0,0,0,0,185.31
"Tsitsikamma West","PORTELIZABETH-WK",3,1,0.6,2.21,0.13,179.8
"Tsitsikamma West","PORTNOLLOTH",0,0,0,0,0,829.71
"Tsitsikamma West","RIVERSDAL",0,0,0,0,0,221.42
"Tsitsikamma West","SAASTRONOMICALOBSERVATORY",18,9,0.61,1.78,0.41,477.05
"Tsitsikamma West","SPRINGBOK-WK",4,0,NA,NA,NA,725.61
"Tsitsikamma West","SPRINGBOKWO",15,8,0.92,1.89,0.22,725.72
"Tsitsikamma West","STRAND",12,8,1.12,2.2,0.37,442.6
"Tsitsikamma West","TSITSIKAMMA",15,7,1.05,3.22,0.49,23.41
"Tsitsikamma West","TYGERHOEK",18,6,1.09,2.76,0.55,345.64
"Tsitsikamma West","UITENHAGE",15,3,1.38,4.2,0.59,167.49
"Tsitsikamma West","VIOOLSDRIF",10,0,NA,NA,NA,821.13
"Tsitsikamma West","VIOOLSDRIF-AWS",6,3,2.4,2.91,0.81,813.93
"Tsitsikamma West","WILLOWMORE",18,8,0.86,2.39,0.46,77.13
"Ystervarkpunt","BISHO",13,4,3.67,5.32,0.24,539.95
"Ystervarkpunt","CAPEPOINT",13,8,0.56,2.05,0.16,298.35
"Ystervarkpunt","CAPETOWND.F.MALAN-WK",0,0,0,0,0,292.72
"Ystervarkpunt","CAPETOWN-ROYALYACHTCLUB",7,5,1.58,4.09,0.66,307.99
"Ystervarkpunt","CAPETOWNSLANGKOP",12,7,1.29,2.59,0.21,315.55
"Ystervarkpunt","CAPETOWNWO",13,8,0.85,2.09,0.23,292.68
"Ystervarkpunt","CT-AWS",7,6,1.73,2.75,0.45,292.57
"Ystervarkpunt","DOHNE-AGR",7,5,1.58,4.09,0.66,570.3
"Ystervarkpunt","EASTLONDON-WK",0,0,0,0,0,583.58
"Ystervarkpunt","EASTLONDONWO",7,6,1.73,2.75,0.45,582.3
"Ystervarkpunt","GEORGEAWS",0,0,0,0,0,73.89
"Ystervarkpunt","GEORGECLIMATEAWS",0,0,0,0,0,73.36
"Ystervarkpunt","GEORGEWITFONTEIN",1,0,NA,NA,NA,81.63
"Ystervarkpunt","HERMANUS",13,8,0.88,2.63,0.29,230.87
"Ystervarkpunt","JONKERSHOEK",0,0,0,0,0,263.15
"Ystervarkpunt","JOUBERTINAAWS",11,8,2,3.35,0.4,205.13
"Ystervarkpunt","JOUBERTINASCHOOLAWS",0,0,0,0,0,205.44
"Ystervarkpunt","KIRSTENBOSCH",13,9,0.52,1.9,0.17,307.69
"Ystervarkpunt","KNYSNA",12,9,0.79,2.56,0.17,129.36
"Ystervarkpunt","MAKATINIRESEARCHCENTRE",13,6,2,3.21,0.61,1263.04
"Ystervarkpunt","MBAZWANAAIRFIELD",11,4,3.67,4.9,0.67,1288.96
"Ystervarkpunt","MOLTENORESERVOIR",7,6,1,2.66,0.25,310.55
"Ystervarkpunt","MOSSELBAY",0,0,0,0,0,42.94
"Ystervarkpunt","PAARL",13,7,0.92,2.41,0.27,265.89
"Ystervarkpunt","PLETTENBERGBAAI",13,6,1.16,3.1,0.15,149.8
"Ystervarkpunt","PORTELIZABETHAWOS",13,8,1.57,2.46,0.33,359.46
"Ystervarkpunt","PORTELIZABETHAWS",0,0,0,0,0,359.28
"Ystervarkpunt","PORTELIZABETH-SHARKROCKPIER",0,0,0,0,0,363.53
"Ystervarkpunt","PORTELIZABETH-WK",0,0,0,0,0,358.02
"Ystervarkpunt","PORTNOLLOTH",0,0,0,0,0,734.49
"Ystervarkpunt","RIVERSDAL",0,0,0,0,0,57
"Ystervarkpunt","SAASTRONOMICALOBSERVATORY",13,8,0.59,1.73,0.23,304.59
"Ystervarkpunt","SPRINGBOK-WK",0,0,0,0,0,639.52
"Ystervarkpunt","SPRINGBOKWO",13,7,1.05,2.11,0.14,639.52
"Ystervarkpunt","STRAND",12,8,1.38,2.45,0.24,267.22
"Ystervarkpunt","TSITSIKAMMA",13,7,1.1,3.34,0.27,202.87
"Ystervarkpunt","TYGERHOEK",13,7,0.96,2.07,0.27,171.06
"Ystervarkpunt","UITENHAGE",13,5,1.38,3.94,0.32,348.83
"Ystervarkpunt","VIOOLSDRIF",8,0,NA,NA,NA,745.2
"Ystervarkpunt","VIOOLSDRIF-AWS",6,4,3.6,4.16,0.64,737.41
"Ystervarkpunt","WILLOWMORE",13,6,1.22,2.69,0.35,202.2
